Seed	Start_X	Start_Z	Portal_X	Portal_Z	Distance
-5087685212357556483	-35	140	-576	2192	2336
-2466027279274043176	118	7	1840	144	2356
-7454889766493260656	-76	-87	-1168	-1408	1774
1904434684112830042	-77	-86	-1200	-1424	1815
-3599245535508156430	-50	91	-752	1456	1639
-1731659065032869073	54	112	864	1856	2093
-8743482209871867354	-156	-14	-2496	-192	2688
7698034129751332777	-50	-121	-848	-1968	2143
3879544595695367752	-60	111	-976	1744	2018
2822324583170438994	109	-48	1696	-752	1340
967123011670917948	-84	-91	-1312	-1472	1972
6902867320546236492	107	-91	1760	-1456	2284
4232795691469541632	-93	-27	-1520	-464	1533
4598150211241204119	157	17	2480	224	2490
4193952144685330770	155	-52	2480	-864	2558
-3623170908521000489	6	163	112	2608	2610
8207503837606186256	92	26	1520	432	1580
6249282424630856493	-49	92	-848	1488	1713
7136773026201989654	-17	117	-256	1808	1887
8198496638355000311	86	55	1376	912	1651
-7092631471450504357	-116	108	-1888	1744	2570
7473980048303440762	44	-160	672	-2544	2631
1752719671682937771	-102	79	-1664	1216	2102
-1688874868558100431	10	-120	144	-1872	1878
7873111565280434833	152	-9	2416	-96	2352
-2880639919947875611	112	-87	1824	-1408	2304
5394442920369471999	-44	-136	-736	-2144	2267
408676657893945287	89	1	1424	48	1425
284546193164599874	-156	-14	-2448	-224	2458
5616245202019566088	13	-160	160	-2544	2481
1410727574988723691	45	121	704	1904	2030
-6139557200297224626	40	-99	640	-1552	1679
2033913173428515574	97	41	1568	640	1690
-7317248502852174719	90	-77	1456	-1200	2453
-5075018838374355092	29	-135	448	-2096	2530
5261305256395221505	-98	31	-1536	496	1655
-2064925437429153398	106	-3	1664	16	1664
-7574516631563455309	-122	113	-2000	1808	2696
-388179001162056608	-103	-30	-1632	-544	1793
-5767447281078474323	-8	99	-160	1616	1701
-7979840598022425187	65	116	1072	1808	2102
-8342380368025742128	46	70	704	1072	1332
799363925583735813	26	-148	448	-2400	2441
5539402533391527207	-115	-68	-1904	-1088	2193
7355197608155433537	86	60	1392	928	1683
7067530181957316230	98	79	1536	1280	1979
-1331964598063432970	-10	-117	-144	-1840	1846
-6878429014146718419	4	-90	80	-1472	1474
-8306070096020615975	79	-142	1232	-2320	2627
-7781682214407348364	102	-102	1616	-1616	2262
7070344931731211952	-7	112	-144	1760	1804
7574816108691742	22	-96	368	-1568	1651
4338630282756431161	44	-82	720	-1344	1653
4691881378530400056	-17	-113	-320	-1808	1836
-1422599540555001201	48	95	736	1536	1647
3138702457043933861	-15	116	-240	1872	1887
7729840802172683087	-103	46	-1728	720	1899
4837966891448436607	116	6	1824	112	1923
-1880840802632921759	-89	-61	-1392	-992	1709
1366254528701339116	-135	-26	-2144	-464	2218
-7094883271220692362	85	23	1360	320	1393
1073239077947518861	105	-25	1680	-368	1720
-829813239592754553	-143	-45	-2272	-784	2348
6701331237277671332	138	-28	2272	-448	2360
-8629766319220903529	-3	-102	-32	-1680	1680
